category,local_label,ccdef_label,loinc_code,loinc_shortname
clinical,Triiodothyronine (T3),,3053-6,
clinical,Troponin I,,10839-9,
clinical,Troponin T,,6598-7,
clinical,"UE3, Maternal Screen",,,
clinical,Uptake Ratio,,3050-2,
clinical,Urea Nitrogen,,3094-0,
clinical,Uric Acid,,3084-1,
clinical,Valproic Acid,,4086-5,
clinical,Vancomycin,,20578-1,
clinical,Vitamin B12,,2170-9,
clinical,<Albumin>,,1746-7,
clinical,"Bilirubin, Total, CSF",,1973-7,
clinical,"Chloride, CSF",,,
clinical,"Glucose, CSF",,2342-4,
clinical,"Lactate Dehydrogenase, CSF",,2528-8,
clinical,"Miscellaneous, CSF",,,
clinical,"PEP, CSF",,24352-7,
clinical,"Total Protein, CSF",,2880-3,
clinical,"Albumin, Joint Fluid",,,
clinical,"Amylase, Joint Fluid",,14388-3,
clinical,"Creatinine, Joint Fluid",,14401-4,
clinical,"Glucose, Joint Fluid",,2348-1,
clinical,"LD, Joint Fluid",,2533-8,
clinical,"Total Protein, Joint Fluid",,2886-0,
clinical,"Albumin, Body Fluid",,1747-5,
clinical,"Amylase, Body Fluid",,1795-4,
clinical,"Bicarbonate, Other Fluid",,11211-0,
clinical,"Bilirubin, Total, Body Fluid",,1974-5,
clinical,"Calcium, Body Fluid",,15155-5,
clinical,"Chloride, Body Fluid",,2072-7,
clinical,"Cholesterol, Body Fluid",,12183-0,
clinical,"Creatinine, Body Fluid",,12190-5,
clinical,FetalFN,,,
clinical,"Glucose, Body Fluid",,2344-0,
clinical,"LD, Body Fluid",,2529-6,
clinical,"Lipase, Body Fluid",,15212-4,
clinical,"Magnesium, Body Fluid",,29365-4,
clinical,"Miscellaneous, Body Fluid",,,
clinical,"Osmolality, Body Fluid",,15200-9,
clinical,"Phosphate, Body Fluid",,12242-4,
clinical,"Potassium, Body Fluid",,2821-7,
clinical,"Sodium, Body Fluid",,2950-4,
clinical,"Total Protein, Body Fluid",,2881-1,
clinical,Triglycer,,12228-3,
clinical,"Urea Nitrogen, Body Fluid",,3093-2,
clinical,"Albumin, Pleural",,1748-3,
clinical,"Amylase, Pleural",,1796-2,
clinical,"Bicarbonate, Pleural",,54361-1,
clinical,"Bilirubin, Total, Pleural",,14421-2,
clinical,"Chloride, Pleural",,53627-6,
clinical,"Cholesterol, Pleural",,9618-0,
clinical,"Creatinine, Pleural",,14399-0,
clinical,"Glucose, Pleural",,2346-5,
clinical,"Lactate Dehydrogenase, Pleural",,2530-4,
clinical,"Lipase, Pleural",,,
clinical,"Miscellaneous, Pleural",,,
clinical,"Potassium, Pleural",,,
clinical,"Sodium, Pleural",,,
clinical,"Total Protein, Pleural",,2882-9,
clinical,"Triglycerides, Pleural",,9619-8,
clinical,"Bicarbonate, Stool",,14040-0,
clinical,"Chloride, Stool",,15158-9,
clinical,"Osmolality, Stool",,2693-0,
clinical,"Potassium, Stool",,15202-5,
clinical,"Sodium, Stool",,15207-4,
clinical,24 hr Calcium,,6874-2,
clinical,24 hr Creatinine,,2162-6,
clinical,24 hr Protein,,2889-4,
clinical,"Albumin, Urine",,1754-1,
clinical,"Albumin/Creatinine, Urine",,14958-3,
clinical,"Amphetamine Screen, Urine",,3349-8,
clinical,"Amylase, Urine",,1799-6,
clinical,"Amylase/Creatinine Ratio, Urine",,34235-2,
clinical,"Barbiturate Screen, Urine",,3377-9,
clinical,"Benzodiazepine Screen, Urine",,3390-2,
clinical,"Bicarbonate, Urine",,1964-6,
clinical,"Calcium, Urine",,2004-0,
clinical,"Chloride, Urine",,2078-4,
clinical,"Cocaine, Urine",,3397-7,
clinical,Creatinine Clearance,,33558-8,
clinical,"Creatinine, Serum",,,
clinical,"Creatinine, Urine",,2161-8,
clinical,"Ethanol, Urine",,5644-0,
clinical,"Glucose, Urine",,2350-7,
clinical,"HCG, Urine, Qualitative",,2106-3,
clinical,"Immunofixation, Urine",,49276-9,
clinical,Length of Urine Collection,,13362-9,
clinical,"Magnesium, Urine",,2598-1,
clinical,Marijuana,,3427-2,
clinical,"Methadone, Urine",,3773-9,
clinical,"Myoglobin, Urine",,2640-1,
clinical,"Opiate Screen, Urine",,3879-4,
clinical,"Osmolality, Urine",,2695-5,
clinical,pH,,2756-5,
clinical,"Phosphate, Urine",,2778-9,
clinical,Porphobilinogen Screen,,2809-2,
clinical,"Potassium, Urine",,2828-2,
clinical,"Prot. Electrophoresis, Urine",,13438-7,
clinical,Protein/Creatinine Ratio,,2890-2,
clinical,"Sodium, Urine",,2955-3,
clinical,Total Collection Time,,13362-9,
clinical,"Total Protein, Urine",,2887-8,
clinical,Uhold,,,
clinical,"Urea Nitrogen, Urine",,3095-7,
clinical,"Uric Acid, Urine",,3086-6,
clinical,Urine Creatinine,,,
clinical,"Urine tube, held",,,
clinical,Urine Volume,,28009-9,
clinical,"Urine Volume, Total",,28009-9,
clinical,Atypical Lymphocytes,,33369-0,
clinical,Bands,,,
clinical,Basophils,,35069-4,
clinical,Blasts,,,
clinical,Eosinophils,,30380-0,
clinical,"Hematocrit, Ascites",,,
clinical,Lymphocytes,,26482-0,
clinical,Macrophage,,40517-5,
clinical,Mesothelial Cell,,30432-9,
clinical,Metamyelocytes,,,
clinical,Monocytes,,26488-7,
clinical,Myelocytes,,,
clinical,Nucleated RBC,,,
clinical,Other,,,
clinical,Plasma,,40518-3,
clinical,Polys,,26520-7,
clinical,Promyelocytes,,,
clinical,"RBC, Ascites",,26457-2,
clinical,"WBC, Ascites",,26468-9,
clinical,Young,,,
clinical,Absolute CD3 Count,,8124-0,
clinical,Absolute CD4 Count,,8128-1,
clinical,Absolute CD8 Count,,8138-0,
clinical,Absolute Lymphocyte Count,,26474-7,
clinical,Acanthocytes,,7789-1,
clinical,ADP,,,
clinical,Alpha Antiplasmin,,,
clinical,Anisocytosis,,702-1,
clinical,Anticardiolipin Antibody IgG,,8065-5,
clinical,Anticardiolipin Antibody IgM,,3182-3,
clinical,Antithrombin,,27811-9,
clinical,APT Test,,,
clinical,Arachadonic Acid,,,
clinical,Atypical Lymphocytes,,733-6,
clinical,Bands,,763-3,
clinical,Basophilic Stippling,,703-9,
clinical,Basophils,,704-7,
clinical,Bite Cells,,10371-3,
clinical,Blasts,,708-8,
clinical,Bleeding Time,,11067-6,
clinical,Blood Parasite Smear,,24429-3,
clinical,Burr Cells,,7790-9,
clinical,CD10,,8107-5,
clinical,CD103,,,
clinical,CD117,,17107-4,
clinical,CD11c,,8109-1,
clinical,CD13,,8110-9,
clinical,CD138,,42869-8,
clinical,CD14,,8111-7,
clinical,CD15,,17117-3,
clinical,CD16/56,,18267-5,
clinical,CD16,,8115-8,
clinical,CD16/56 Absolute Count,,,
clinical,CD16/56%,,,
clinical,CD19,,8117-4,
clinical,CD19 %,,,
clinical,CD19 Absolute Count,,,
clinical,CD2,,8118-2,
clinical,CD20,,8119-0,
clinical,CD20 %,,,
clinical,CD20 Absolute Count,,,
clinical,CD22,,14017-8,
clinical,CD23,,14018-6,
clinical,CD25,,,
clinical,CD3 %,,,
clinical,CD3 Absolute Count,,,
clinical,"CD3 Cells, Percent",,8122-4,
clinical,CD33,,8102-6,
clinical,CD34,,8125-7,
clinical,CD38,,8126-5,
clinical,"CD4 Cells, Percent",,8127-3,
clinical,CD4/CD8 Ratio,,8129-9,
clinical,CD41,,17148-8,
clinical,CD45,,8130-7,
clinical,CD5,,8132-3,
clinical,CD5 %,,,
clinical,CD5 Absolute Count,,,
clinical,CD55,,17175-1,
clinical,CD56,,8133-1,
clinical,CD57,,,
clinical,CD59,,17177-7,
clinical,CD64,,17183-5,
clinical,CD7,,8135-6,
clinical,CD71,,8136-4,
clinical,"CD8 Cells, Percent",,8137-2,
clinical,Collagen,,,
clinical,D-Dimer,,48065-7,
clinical,Elliptocytes,,6681-1,
clinical,Envelope Cells,,681-7,
clinical,Eosinophil Count,,26449-9,
clinical,Eosinophils,,711-2,
clinical,Epinepherine,,,
clinical,Factor II,,3289-6,
clinical,Factor IX,,3188-0,
clinical,Factor V,,3193-0,
clinical,Factor VII,,3198-9,
clinical,Factor VIII,,3209-4,
clinical,Factor VIII Inhibitor,,3204-5,
clinical,Factor X,,3218-5,
clinical,Factor XI,,3226-8,
clinical,Factor XII,,3232-6,
clinical,Factor XIII,,3240-9,
clinical,Fetal Hemoglobin,,4576-5,
clinical,Fibrin Degradation Products,,30226-5,
clinical,"Fibrinogen, Functional",,3255-7,
clinical,FMC-7,,17220-5,
clinical,Fragmented Cells,,10373-9,
clinical,Glyco A,,17221-3,
clinical,Granulocyte Count,,30394-1,
clinical,H/O Smear,,38924-7,
clinical,Heinz Body Prep,,48068-1,
clinical,Hematocrit,,4544-3,
clinical,Hemoglobin,,718-7,
clinical,Hemoglobin A2,,4552-6,
clinical,Hemoglobin C,,4561-7,
clinical,Hemoglobin F,,9749-3,
clinical,Hemogloblin A,,10346-5,
clinical,Hemogloblin S,,4622-7,
clinical,Heparin,,13055-9,
clinical,"Heparin, LMW",,32684-3,
clinical,HLA-DR,,32621-5,
clinical,Howell-Jolly Bodies,,7793-3,
clinical,Hypersegmented Neutrophils,,766-6,
clinical,Hypochromia,,728-6,
clinical,Immunophenotyping,,,
clinical,Inhibitor Screen,,,
clinical,Inpatient Hematology/Oncology Smear,,,
clinical,INR(PT),,5895-7,
clinical,Kappa,,,
clinical,Lambda,,,
clinical,Large Platelets,,34167-7,
clinical,Leukocyte Alkaline Phosphatase,,4659-9,
clinical,LUC,,,
clinical,Lupus Anticoagulant,,,
clinical,Lymphocytes,,731-0,
clinical,"Lymphocytes, Percent",,26478-8,
clinical,Macrocytes,,738-5,
clinical,MacroOvalocytes,,10376-2,
clinical,MCH,,785-6,
clinical,MCHC,,786-4,
clinical,MCV,,787-2,
clinical,Metamyelocytes,,28541-1,
clinical,Microcytes,,741-9,
clinical,Monocyte Count,,26484-6,
clinical,Monocytes,,742-7,
clinical,Myelocytes,,26498-6,
clinical,Neutrophils,,761-7,
clinical,Nucleated Red Cells,,772-4,
clinical,Osmotic Fragility,,34964-7,
clinical,Other Cells,,729-4,
clinical,Ovalocytes,,774-0,
clinical,Pappenheimer Bodies,,7795-8,
clinical,Pencil Cells,,10377-0,
clinical,Plasma Cells,,13047-6,
clinical,Platelet Clumps,,40741-1,
clinical,Platelet Count,,777-3,
clinical,Platelet Smear,,778-1,
clinical,Poikilocytosis,,779-9,
clinical,Polychromasia,,10378-8,
clinical,Promyelocytes,,781-5,
clinical,"Protein C, Antigen",,27820-0,
clinical,"Protein C, Functional",,27818-4,
clinical,"Protein S, Antigen",,27823-4,
clinical,"Protein S, Functional",,31102-7,
clinical,PT,,5902-2,
clinical,PTT,,3173-2,
clinical,Quantitative G6PD,,32546-4,
clinical,RDW,,788-0,
clinical,Red Blood Cell Fragments,,,
clinical,Red Blood Cells,,789-8,
clinical,Reptilase Time,,6683-7,
clinical,Reptilase Time Control,,,
clinical,"Reticulocyte Count, Absolute",,14196-0,
clinical,"Reticulocyte Count, Automated",,17849-1,
clinical,"Reticulocyte Count, Manual",,31112-6,
clinical,"Reticulocyte, Cellular Hemoglobin",,,
clinical,Ristocetin,,,
clinical,Schistocytes,,800-3,
clinical,Sedimentation Rate,,4537-7,
clinical,Serum Viscosity,,3128-6,
clinical,Sickle Cell Preparation,,6864-3,
clinical,Sickle Cells,,801-1,
clinical,Spherocytes,,802-9,
clinical,Sugar Water Test,,12260-6,
clinical,Target Cells,,10381-2,
clinical,TdT,,,
clinical,Teardrop Cells,,7791-7,
clinical,Thrombin,,3243-3,
clinical,Von Willebrand Factor Activity,,6014-5,
clinical,Von Willebrand Factor Antigen,,6012-9,
clinical,WBC Count,,26464-8,
clinical,White Blood Cells,,804-5,
clinical,Young Cells,,51633-6,
clinical,CD10,,51216-0,
clinical,CD103,,51221-0,
clinical,CD117,,42866-4,
clinical,CD11c,,33202-3,
clinical,CD13,,51237-6,
clinical,CD138,,,
clinical,CD14,,32507-6,
clinical,CD15,,51251-7,
clinical,CD16,,,
clinical,CD16/56,,51255-8,
clinical,CD19,,32525-8,
clinical,CD2,,32527-4,
clinical,CD20,,,
clinical,CD22,,,
clinical,CD23,,51268-1,
clinical,CD25,,,
clinical,CD3,,32529-0,
clinical,CD33,,51293-9,
clinical,CD34,,57400-4,
clinical,CD38,,,
clinical,CD4,,51301-0,
clinical,CD41,,51319-2,
clinical,CD45,,51340-8,
clinical,CD5,,35640-2,
clinical,CD55,,51344-0,
clinical,CD56,,,
clinical,CD57,,,
clinical,CD59,,51358-0,
clinical,CD64,,51365-5,
clinical,CD7,,35641-0,
clinical,CD71,,,
clinical,CD8,,51372-1,
clinical,FMC-7,,,
clinical,Glyco A,,33208-0,
clinical,HLA-DR,,51380-4,
clinical,Immunophenotyping,,,
clinical,Iron Stain,,13513-7,
clinical,Kappa,,,
clinical,Lambda,,,
clinical,Wright Giemsa,,10355-6,
clinical,Atypical Lymphocytes,,30416-2,
clinical,Bands,,26509-0,
clinical,Basophils,,30374-3,
clinical,Cysteine Crystals,,5782-8,
clinical,Eosinophils,,25156-1,
clinical,Epithelial Casts,,,
clinical,Epithelial Cells,,5787-7,
clinical,Free Fat,,53359-6,
clinical,Glucose,,5792-7,
clinical,Granular Casts,,5793-5,
clinical,Hematocrit,,17809-5,
clinical,Hemosiderin,,4644-1,
clinical,Hyaline Casts,,5796-8,
clinical,Hyphenated Yeast,,41865-7,
clinical,Ketone,,5797-6,
clinical,Leucine Crystals,,5798-4,
clinical,Leukocytes,,5799-2,
clinical,Nitrite,,5802-4,
clinical,Non-squamous Epithelial Cells,,41284-1,
clinical,NonSquamous Epithelial Cell,,41284-1,
clinical,Oval Fat Body,,,
clinical,pH,,5803-2,
clinical,Protein,,5804-0,
clinical,RBC,,5808-1,
clinical,RBC Casts,,5807-3,
clinical,RBC Clumps,,,
clinical,"Reducing Substances, Urine",,,
clinical,Renal Epithelial Cells,,26052-1,
clinical,Specific Gravity,,5811-5,
clinical,Sperm,,8248-7,
clinical,Sulfonamides,,5812-3,
clinical,Transitional Epithelial Cells,,30089-7,
clinical,Trichomonas,,32724-7,
clinical,Triple Phosphate Crystals,,5814-9,
clinical,Tyrosine Crystals,,5815-6,
clinical,Uric Acid Crystals,,5817-2,
clinical,Urine Appearance,,5767-9,
clinical,"Urine Casts, Other",,9842-6,
clinical,Urine Color,,5778-6,
clinical,Urine Comments,,,
clinical,"Urine Crystals, Other",,5783-6,
clinical,Urine Fat Bodies,,2272-3,
clinical,Urine Mucous,,8247-9,
clinical,Urine Specimen Type,,19159-3,
clinical,Urobilinogen,,5818-0,
clinical,Waxy Casts,,5819-8,
clinical,WBC,,5821-4,
clinical,WBC Casts,,5820-6,
clinical,WBC Clumps,,,
clinical,Yeast,,5822-2,
clinical,ANTI-MC,,32042-4,
clinical,"ACID PHOSPHATASE, PROSTATIC",,,
clinical,PG,,48785-0,
clinical,GR HOLD,,,
clinical,FATTY,,5789-3,
clinical,Billed,,,
clinical,FRUCAMN+,,,
clinical,MS-DIA,,,
clinical,STDY HOLD,,,
clinical,Estimated Actual Glucose,,,
clinical,AF-AFP,,,
clinical,STDYURINE,,,
clinical,PLASMGN,,,
clinical,WBCP,,,
clinical,MYELOS,,,
clinical,CD55,,,
clinical,CD59,,,
