category,local_label,ccdef_label,loinc_code,loinc_shortname
clinical,RMORB,,6742-1,RBC morph Bld
clinical,RMOR,,6742-1,RBC morph Bld
clinical,ESR,,4537-7,ESR Bld Qn Westrgrn
clinical,LIPAS,,3040-3,Lipase SerPl-cCnc
clinical,PTTPF,,14979-9,aPTT PPP
clinical,PTT,,14979-9,aPTT PPP
clinical,MPV,,32623-1,PMV Bld Auto
clinical,AMYL,,1798-8,Amylase SerPl-cCnc
clinical,URBC,,5808-1,RBC # UrnS HPF
clinical,ULKCS,,20408-1,WBC # Ur Strip
clinical,%ABR,,882-1,ABO + Rh Bld
clinical,URPREG,,2106-3,HCG Preg Ur Ql
clinical,GGT,,2324-2,GGT SerPl-cCnc
clinical,TFERP,,2502-3,Iron Satn MFr SerPl
clinical,GS,,664-3,Gram Stn XXX
clinical,UMORPH,,3879-4,Opiates Ur Ql
clinical,UOP,,3879-4,Opiates Ur Ql
clinical,UBENZ,,3390-2,Benzodiaz Ur Ql
clinical,%AS,,890-4,Bld gp Ab Scn SerPl Ql
clinical,BNPEP,,30934-4,BNP SerPl-mCnc
clinical,NTPBNP,,30934-4,BNP SerPl-mCnc
clinical,UBARB,,3377-9,Barbiturates Ur Ql
clinical,IGAN,,2458-8,IgA SerPl-mCnc
clinical,FSH,,15067-2,FSH SerPl-aCnc
clinical,ROH,,19145-2,Ref Lab Test Name
clinical,ROC,,19145-2,Ref Lab Test Name
clinical,ROK,,19145-2,Ref Lab Test Name
clinical,ROCTC,,19145-2,Ref Lab Test Name
clinical,RFN,,11572-5,Rheumatoid fact SerPl-aCnc
clinical,HCG,,19080-1,HCG SerPl-aCnc
clinical,COLPAR,,13362-9,Collect duration Time Ur
clinical,PMORB,,11125-2,Plat morph Bld
clinical,PMOR,,11125-2,Plat morph Bld
clinical,IGMN,,2472-9,IgM SerPl-mCnc
clinical,SPE19,,31208-2,Specimen source XXX
clinical,SPE18,,31208-2,Specimen source XXX
clinical,SPE17,,31208-2,Specimen source XXX
clinical,SPE16,,31208-2,Specimen source XXX
clinical,SPE15,,31208-2,Specimen source XXX
clinical,SPE13,,31208-2,Specimen source XXX
clinical,SPE20,,31208-2,Specimen source XXX
clinical,SPE12,,31208-2,Specimen source XXX
clinical,SPE11,,31208-2,Specimen source XXX
clinical,SPE1,,31208-2,Specimen source XXX
clinical,SDES,,31208-2,Specimen source XXX
clinical,SPE14,,31208-2,Specimen source XXX
clinical,SPE21,,31208-2,Specimen source XXX
clinical,SPE2,,31208-2,Specimen source XXX
clinical,SPE23,,31208-2,Specimen source XXX
clinical,SPE22,,31208-2,Specimen source XXX
clinical,SPEC5,,31208-2,Specimen source XXX
clinical,SPEC36,,31208-2,Specimen source XXX
clinical,SPEC35,,31208-2,Specimen source XXX
clinical,SPEC33,,31208-2,Specimen source XXX
clinical,SPEC29,,31208-2,Specimen source XXX
clinical,SPEC24,,31208-2,Specimen source XXX
clinical,SPEC21,,31208-2,Specimen source XXX
clinical,SPEC13,,31208-2,Specimen source XXX
clinical,ST,,31208-2,Specimen source XXX
clinical,SPE9,,31208-2,Specimen source XXX
clinical,SPE8,,31208-2,Specimen source XXX
clinical,SPE7,,31208-2,Specimen source XXX
clinical,SPE6,,31208-2,Specimen source XXX
clinical,SPE5,,31208-2,Specimen source XXX
clinical,SPE27,,31208-2,Specimen source XXX
clinical,SPE25,,31208-2,Specimen source XXX
clinical,SPE24,,31208-2,Specimen source XXX
clinical,SPEC12,,31208-2,Specimen source XXX
clinical,FIB,,3255-7,Fibrinogen PPP-mCnc
clinical,LH,,10501-5,LH SerPl-aCnc
clinical,PALB,,14338-8,Prealb SerPl-mCnc
clinical,PROL,,2842-3,Prolactin SerPl-mCnc
clinical,URPR,,2888-6,Prot Ur-mCnc
clinical,UCAS,,9842-6,Casts #/area UrnS LPF
clinical,BCL,,2069-3,Chloride Bld-sCnc
clinical,CKMBT,,20569-0,CK MB CFr SerPl
clinical,CKMBI,,20569-0,CK MB CFr SerPl
clinical,CEAG,,2039-6,CEA SerPl-mCnc
clinical,BG,,2871-2,B-Globulin SerPl Elph-mCnc
clinical,A1G,,2865-4,Alpha1 Glob SerPl Elph-mCnc
clinical,A2G,,2868-8,Alpha2 Glob SerPl Elph-mCnc
clinical,UPCP,,3936-2,PCP Ur Ql
clinical,GG,,2874-6,Gamma glob SerPl Elph-mCnc
clinical,OSM,,2692-2,Osmolality SerPl
clinical,ATPO,,8099-4,Thyroperoxidase Ab SerPl-aCnc
clinical,BBAND,,763-3,Neuts Band # Bld Manual
clinical,BAND,,763-3,Neuts Band # Bld Manual
clinical,CRP,,30522-7,CRP SerPl HS-mCnc
clinical,WMOR,,11156-7,WBC morph Bld
clinical,WMORB,,11156-7,WBC morph Bld
clinical,HOMOC,,13965-9,Hcys SerPl-sCnc
clinical,VANCPR,,4092-3,Vancomycin Trough SerPl-mCnc
clinical,TGIGA,,31017-7,tTG IgA Ser-aCnc
clinical,AFP,,1834-1,AFP SerPl-mCnc
clinical,URINML,,3167-4,Specimen vol 24h Ur
clinical,UALML,,3167-4,Specimen vol 24h Ur
clinical,UCORML,,3167-4,Specimen vol 24h Ur
clinical,UCATML,,3167-4,Specimen vol 24h Ur
clinical,UMETML,,3167-4,Specimen vol 24h Ur
clinical,UVMAML,,3167-4,Specimen vol 24h Ur
clinical,U5HIML,,3167-4,Specimen vol 24h Ur
clinical,URNA,,2955-3,Sodium Ur-sCnc
clinical,FNEUT,,12238-2,Neutrophils/leuk NFr Fld Manual
clinical,UMTD,,3773-9,Methadone Ur Ql
clinical,%DIG,,1006-6,DAT IgG-Sp Reag RBC-Imp
clinical,CLO2S,,20564-1,SaO2 % Bld
clinical,MVO2S,,20564-1,SaO2 % Bld
clinical,O2SAT,,20564-1,SaO2 % Bld
clinical,VO2SAT,,20564-1,SaO2 % Bld
clinical,C125,,10334-1,Cancer Ag125 SerPl-aCnc
clinical,CA125K,,10334-1,Cancer Ag125 SerPl-aCnc
clinical,C3N,,4485-9,C3 SerPl-mCnc
clinical,C4N,,4498-2,C4 SerPl-mCnc
clinical,SIC,,6864-3,Hgb S Bld Ql Soly
clinical,CVO2S,,2708-6,SaO2 % BldA
clinical,IGE,,19113-0,IgE SerPl-aCnc
clinical,IGEO,,19113-0,IgE SerPl-aCnc
clinical,MONO,,743-5,Monocytes # Bld Manual
clinical,BMON,,743-5,Monocytes # Bld Manual
clinical,BLACT,,32693-4,Lactate Bld-sCnc
clinical,DDIQ,,48065-7,D dimer FEU PPP-mCnc
clinical,MP1G24,,33358-3,M Protein SerPl Elph-mCnc
clinical,MP2G24,,33358-3,M Protein SerPl Elph-mCnc
clinical,MP,,33358-3,M Protein SerPl Elph-mCnc
clinical,SIR,,29247-4,Sirolimus Bld-mCnc
clinical,BMETA,,739-3,Metamyelocytes # Bld Manual
clinical,META,,739-3,Metamyelocytes # Bld Manual
clinical,URPRT,,2889-4,Prot 24h Ur-mRate
clinical,URK,,2828-2,Potassium Ur-sCnc
clinical,PMYO,,2639-3,Myoglobin SerPl-mCnc
clinical,BNERC,,772-4,nRBC # Bld Manual
clinical,FAST,,49541-6,Fasting status Patient Ql Reported
clinical,FLIPAS,,49541-6,Fasting status Patient Ql Reported
clinical,MYEL,,748-4,Myelocytes # Bld Manual
clinical,BMYEL,,748-4,Myelocytes # Bld Manual
clinical,RPSA,,12841-3,PSA Free MFr SerPl
clinical,CFP,,2880-3,Prot CSF-mCnc
clinical,BCE,,19066-0,Blood Bank Cmnt Patient-Imp
clinical,FAMTYP,,14725-6,Body fld type
clinical,FTPTYP,,14725-6,Body fld type
clinical,FELTYP,,14725-6,Body fld type
clinical,FATYP,,14725-6,Body fld type
clinical,FC3TYP,,14725-6,Body fld type
clinical,FCTYP,,14725-6,Body fld type
clinical,FC4TYP,,14725-6,Body fld type
clinical,FLTYPE,,14725-6,Body fld type
clinical,FGTYP,,14725-6,Body fld type
clinical,FPHTYP,,14725-6,Body fld type
clinical,SBPTYP,,14725-6,Body fld type
clinical,FLDTYP,,14725-6,Body fld type
clinical,CFLTYP,,14725-6,Body fld type
clinical,FUTYP,,14725-6,Body fld type
clinical,FPSAT,,10886-0,PSA Free SerPl-mCnc
clinical,UOSM,,2695-5,Osmolality Ur
clinical,MTEST,,31418-7,Heteroph Ab Ser Ql
clinical,UTCA,,11004-9,Tricyclics Ur Ql
clinical,TN2,,19157-7,Tube # CSF
clinical,TN,,19157-7,Tube # CSF
clinical,FK,,36916-5,Kappa LC Free Ser-mCnc
clinical,HAPT,,4542-7,Haptoglob SerPl-mCnc
clinical,IGFRES,,2484-4,IGF-I SerPl-mCnc
clinical,UMAMPH,,3779-6,Methamphet Ur Ql
clinical,APP,,10333-3,Appearance CSF
clinical,APP2,,10333-3,Appearance CSF
clinical,UYEAST,,5822-2,Yeast #/area UrnS HPF
clinical,UAMPH,,19343-3,Amphet Ur Ql Scn
clinical,MMACID,,13964-2,Methylmalonate SerPl-sCnc
clinical,CLYM,,10328-3,Lymphocytes/leuk NFr CSF Manual
clinical,LI,,14334-7,Lithium SerPl-sCnc
clinical,CA0199,,24108-3,Cancer Ag19-9 SerPl-aCnc
clinical,CA199K,,24108-3,Cancer Ag19-9 SerPl-aCnc
clinical,SHBG,,13967-5,SHBG SerPl-sCnc
clinical,ASPF,,6025-1,A fumigatus IgE Qn
clinical,URCL,,2078-4,Chloride Ur-sCnc
clinical,FTP,,2881-1,Prot Fld-mCnc
clinical,TT,,3243-3,Thrombin time
clinical,ANCE,,2742-5,ACE SerPl-cCnc
clinical,C153,,6875-9,Cancer Ag15-3 SerPl-aCnc
clinical,CA153K,,6875-9,Cancer Ag15-3 SerPl-aCnc
clinical,FLERCS,,6741-3,RBC # Fld Manual
clinical,SBPERC,,6741-3,RBC # Fld Manual
clinical,URACET,,3299-5,APAP Ur Ql
clinical,UACET,,3299-5,APAP Ur Ql
clinical,ASO,,5370-2,ASO Ab SerPl-aCnc
clinical,HELI,,17859-0,H pylori IgG SerPl Ql IA
clinical,FAMYL,,1795-4,Amylase Fld-cCnc
clinical,CERU,,2064-4,Ceruloplasmin SerPl-mCnc
clinical,ERYC,,792-2,RBC # CSF Manual
clinical,OB,,29771-3,Hemoccult Stl Ql IA
clinical,B2M,,1952-1,B2 Microglob SerPl-mCnc
clinical,HS2T,,16131-5,HSV2 DNA XXX Ql NAA+probe
clinical,FLDH,,2529-6,LDH Fld-cCnc
clinical,TFER,,3034-6,Transferrin SerPl-mCnc
clinical,UOXY,,10998-3,oxyCODONE Ur Ql
clinical,CNEU,,13516-0,Neutrophils/leuk NFr CSF Manual
clinical,ERPO,,15061-5,EPO SerPl-aCnc
clinical,A1ATR,,1825-9,A1AT SerPl-mCnc
clinical,SMT,,5358-7,Smooth muscle Ab Titr Ser IF
clinical,GENTPR,,3665-7,Gentamicin Trough SerPl-mCnc
clinical,MTX,,14836-1,MTX SerPl-sCnc
clinical,APOLIP,,1884-6,Apo B SerPl-mCnc
clinical,ANFT,,29953-7,ANA Titr Ser
clinical,PSA,,35741-8,PSA SerPl DL<=0.01 ng/mL-mCnc
clinical,VANCPO,,4090-7,Vancomycin Peak SerPl-mCnc
clinical,C50,,4532-8,CH50 SerPl-aCnc
clinical,FPH,,2748-2,pH Fld
clinical,GENTPO,,3663-2,Gentamicin Peak SerPl-mCnc
clinical,KBK,,32140-6,Hgb F Bld Ql Kleih Betke
clinical,GRHRM,,2963-7,GH SerPl-mCnc
clinical,FBLAST,,13522-8,Blasts/leuk NFr Fld Manual
clinical,IGG1,,2466-1,IgG1 Ser-mCnc
clinical,FALB,,1747-5,Albumin Fld-mCnc
clinical,TOTC,,19076-9,Total Cells Counted XXX
clinical,DSCOM,,12286-1,Drugs Ur Scn
clinical,GENT,,35668-3,Gentamicin SerPl-mCnc
clinical,INLGF,,2483-6,IGF BP3 SerPl-mCnc
clinical,FATSC,,2270-7,Fat Stl Ql
clinical,B2IGG,,16135-6,B2 Glycoprot1 IgG Ser-aCnc
clinical,FFN,,48039-2,Fibronectin Fetal XXX Ql
clinical,UNAREF,,2956-1,Sodium 24h Ur-sRate
clinical,URNAT,,2956-1,Sodium 24h Ur-sRate
clinical,SMAB,,14252-1,Smooth muscle Ab Ser Ql
clinical,BPH37,,49701-6,pH temp adj Bld
clinical,PFPH37,,49701-6,pH temp adj Bld
clinical,PH37,,49701-6,pH temp adj Bld
clinical,AT,,3174-0,AT III PPP Chro-aCnc
clinical,NRBC,,771-6,nRBC # Bld Auto
clinical,APOLA1,,1869-7,Apo A-I SerPl-mCnc
clinical,UMYOG,,2640-1,Myoglobin Ur Ql
clinical,CRB,,6092-1,Crab IgE Qn
clinical,GAD,,13926-1,GAD65 Ab Ser-aCnc
clinical,UMALT,,14956-7,Microalbumin 24h Ur-mRate
clinical,VOL,,17607-3,Specimen vol CSF
clinical,VOL2,,17607-3,Specimen vol CSF
clinical,PERCNT,,42483-8,M Protein MFr Ur Elph
clinical,GAST,,2333-3,Gastrin SerPl-mCnc
clinical,FCARN,,14286-9,Carnitine Free SerPl-sCnc
clinical,HS1T,,16130-7,HSV1 DNA XXX Ql NAA+probe
clinical,BPRMY,,781-5,Promyelocytes # Bld Manual
clinical,PRMY,,781-5,Promyelocytes # Bld Manual
clinical,BKQUA,,41479-7,BKV DNA # SerPl NAA+probe
clinical,BKF,,41479-7,BKV DNA # SerPl NAA+probe
clinical,BKQU,,41479-7,BKV DNA # SerPl NAA+probe
clinical,PTT2,,5946-9,aPTT imm NP PPP
clinical,ESM,,49839-4,Eosinophil UrnS Ql Wright Stn
clinical,TOBPRE,,4059-2,Tobramycin Trough SerPl-mCnc
clinical,ACRANB,,20427-1,AChR Ab Ser-sCnc
clinical,VTMB1,,20468-5,Vit B1 SerPl-sCnc
clinical,ATG,,3175-7,AT III Ag PPP IA-aCnc
clinical,TRYP,,21582-2,Tryptase SerPl-mCnc
clinical,CEOS,,26451-5,Eosinophil/leuk NFr CSF
clinical,TOBPOS,,4057-6,Tobramycin Peak SerPl-mCnc
clinical,CHRGA,,9811-1,CgA SerPl-mCnc
clinical,MALP,,14869-2,Path Rev Bld -Imp
clinical,CACIT,,1992-7,Calcit SerPl-mCnc
clinical,CMACR,,30437-8,Monos+Macros/leuk NFr Fld
clinical,FMACR,,30437-8,Monos+Macros/leuk NFr Fld
clinical,%DBS,,1007-4,DAT Poly-Sp Reag RBC Ql
clinical,BOHB,,6873-4,B-OH-Butyr SerPl-sCnc
clinical,CRYOCT,,15174-6,Cryocrit Ser Spun Westergren
clinical,C1ESII,,4477-6,C1INH SerPl-mCnc
clinical,C1STF,,4477-6,C1INH SerPl-mCnc
clinical,FLYM,,13941-0,Lymphocytes/leuk NFr Fld Manual
clinical,AF,,20431-3,Smear XXX
clinical,MYCO,,23905-3,Mycophenolate SerPl-mCnc
clinical,FEO,,12209-3,Eosinophil/leuk NFr Fld Manual
clinical,BONESP,,1777-2,ALP Bone SerPl-cCnc
clinical,TOBR,,35670-9,Tobramycin SerPl-mCnc
clinical,IGRAN,,34165-1,Imm Granulocytes Bld Ql Auto
clinical,INSUAB,,8072-1,Insulin Ab Ser-aCnc
clinical,IA2T,,31209-0,Islet Cell512 Ab Ser-aCnc
clinical,PLSM,,24103-4,Plasma Cells # Bld Manual
clinical,PHB,,4635-9,Hgb Free Ser-mCnc
clinical,VANC,,20578-1,Vancomycin SerPl-mCnc
clinical,BBLST,,708-8,Blasts # Bld Manual
clinical,BLST,,708-8,Blasts # Bld Manual
clinical,%ABR,,TR11686-3,
clinical,%AS,,TR11561-8,
clinical,%DBS,,TR10489-3,
clinical,%DIG,,TR10489-3,
clinical,A2HPLC,,42245-1,Hgb A2 MFr Bld HPLC
clinical,ACARNS,,46252-3,Acylcarnitine pattern SerPl-Imp
clinical,ACET,,TR10122-0,
clinical,ACET,,14581-3,APAP SerPl-sCnc
clinical,ACETA,,14581-3,APAP SerPl-sCnc
clinical,ACETON,,14582-1,Acetone SerPl-sCnc
clinical,ACRNUC,,43716-0,Acylcarnitine Ur Ql
clinical,ACYLC,,1717-8,Acylcarnitine SerPl-mCnc
clinical,ADCTH,,14674-6,ACTH Plas-sCnc
clinical,AFP,,TR10021-4,
clinical,AGAL,,1813-5,A-Galactosidase A SerPl-cCnc
clinical,AGBMS,,59394-7,GBM Ab Ser IA-aCnc
clinical,AHA,,58765-9,Histone Ab Ser Ql IA
clinical,AHPLC,,42244-4,Hgb A MFr Bld HPLC
clinical,AL2MAC,,1835-8,A2 Macroglob SerPl-mCnc
clinical,ALB,,TR10010-7,
clinical,ALC,,TR10177-4,
clinical,ALC,,14719-9,Ethanol SerPl-sCnc
clinical,ALD,,14586-2,Aldost SerPl-sCnc
clinical,ALMC,,XON12663-1,
clinical,ALP,,TR10016-4,
clinical,ALPIS,,12805-8,ALP Iso SerPl-aCnc
clinical,ALT,,TR10009-9,
clinical,ALUMIN,,14593-8,Aluminum SerPl-sCnc
clinical,AMINOU,,12467-7,Amino acids Ur
clinical,AMIOD,,3330-8,Amiodarone SerPl-mCnc
clinical,AMITR,,14597-9,Amitrip SerPl-sCnc
clinical,AMM,,TR10034-7,
clinical,AMM,,1839-0,Ammonia Bld-sCnc
clinical,AMYINT,,XON10296-2,
clinical,AMYL,,TR10038-8,
clinical,AMYLPF,,1805-1,Amylase P SerPl-cCnc
clinical,ANF,,TR10654-2,
clinical,ANF,,49310-6,ANA Pat Ser-Imp
clinical,ANFT,,TR10654-2,
clinical,ANSKS,,10919-9,Anisakis IgE Qn
clinical,ANTIDH,,14949-2,Vasopressin Plas-sCnc
clinical,ANTISM,,31627-3,ENA SM Ab Ser Ql
clinical,ANTITG,,TR10676-5,
clinical,ANTITG,,56536-6,Thyroglob Ab SerPl IA-aCnc
clinical,ARSEN,,15114-2,Arsenic Bld-sCnc
clinical,ARSUL,,1901-8,Arylsulfatase SerPl-cCnc
clinical,ASPGLN,,7105-0,A nidulans IgE Qn
clinical,ASPM4,,51529-6,Mold Allerg Mix4 IgE Ql
clinical,ASPRGS,,7099-5,Asparagus IgE Qn
clinical,AST,,TR10051-1,
clinical,AT,,TR10520-5,
clinical,ATL,,734-4,Variant Lymphs # Bld Manual
clinical,ATPO,,TR10677-3,
clinical,ATROP,,XON13273-8,
clinical,AXA,,31159-7,Heparin Anti Xa Fld.NB-aCnc
clinical,B2M,,TR10060-2,
clinical,B6,,39786-9,Vit B6 SerPl-sCnc
clinical,BASO,,705-4,Basophils # Bld Manual
clinical,BBAS,,705-4,Basophils # Bld Manual
clinical,BCE,,TR12419-8,
clinical,BEOS,,712-0,Eosinophil # Bld Manual
clinical,BGAL,,1941-4,B-Galactosidase SerPl-cCnc
clinical,BGLU,,38477-6,Glucosylceramidase SerPl-cCnc
clinical,BGLUC,,15074-8,Glucose Bld-sCnc
clinical,BGNR,,XON10336-6,
clinical,BIONCA,,12180-6,Ca-I SerPl ISE-sCnc
clinical,BK,,TR10359-8,
clinical,BLACT,,TR10264-0,
clinical,BLYM,,732-8,Lymphocytes # Bld Manual
clinical,BNCA,,47598-8,Ca-I adj pH7.4 Bld-sCnc
clinical,BNEU,,753-4,Neutrophils # Bld Manual
clinical,BNPEP,,TR11434-8,
clinical,BOHB,,TR10061-0,
clinical,BTRINT,,XON10296-2,
clinical,C1Q,,44702-9,C1q Ab Ser-aCnc
clinical,C24C22,,30196-0,VLCFA C24:0/C22:0 SerPl-sRto
clinical,C2COMP,,4484-2,C2 SerPl-mCnc
clinical,C3N,,TR10610-4,
clinical,C4N,,TR10611-2,
clinical,C6C,,4507-0,C6 SerPl-mCnc
clinical,CA,,TR10085-9,
clinical,CA,,2000-8,Calcium SerPl-sCnc
clinical,CADB,,15117-5,Cadmium Bld-sCnc
clinical,CALP,,38445-3,Calprotectin Stl-mCnt
clinical,CANCAS,,17353-4,c-ANCA Ser Ql IF
clinical,CAO2S,,71853-6,SaO2 DF Bld
clinical,CAPP,,14618-3,Appearance Stone
clinical,CARBA,,TR10101-4,
clinical,CARBA,,14639-9,carBAMazepine SerPl-sCnc
clinical,CBAT,,41018-3,Testosterone.free+WB SerPl-sCnc
clinical,CBWB,,15119-1,Cobalt Bld-sCnc
clinical,CBWBC,,XON12663-1,
clinical,CCEGFR,,50210-4,GFR/BSA.pred SerPlBld Cys-based-ArV
clinical,CCP,,53027-9,cCP Ab Ser-aCnc
clinical,CDIFFS,,57901-1,C diff GDH Stl Ql
clinical,CDIFFT,,61367-9,C diff DNA XXX Ql NAA+probe
clinical,CFGLU,,14744-7,Glucose CSF-sCnc
clinical,CFLCOM,,XON10442-2,
clinical,CFLRES,,XON10441-4,
clinical,CFLTST,,XON10442-2,
clinical,CFLUN,,XON10442-2,
clinical,CFNMDA,,XON13181-3 ,
clinical,CFP,,TR10374-7,
clinical,CHOL,,TR10120-4,
clinical,CHOL,,14647-2,Cholest SerPl-sCnc
clinical,CHRMC,,XON12663-1,
clinical,CHRMUG,,15118-3,Chromium Bld-sCnc
clinical,CIMT,,XON12190-4,
clinical,CK,,TR10146-9,
clinical,CL,,TR10116-2,
clinical,CLA,,43228-6,Cryptoc Ag XXX Ql LA
clinical,CLOB,,14651-4,cloBAZam SerPl-sCnc
clinical,CLONA,,14655-5,clonazePAM SerPl-sCnc
clinical,CLOZA,,14656-3,cloZAPine SerPl-sCnc
clinical,CMVF,,29604-6,CMV DNA # Bld NAA+probe
clinical,CMVQU,,29604-6,CMV DNA # Bld NAA+probe
clinical,CMVQUA,,29604-6,CMV DNA # Bld NAA+probe
clinical,CMVT,,29604-6,CMV DNA # Bld NAA+probe
clinical,CMVTE,,29604-6,CMV DNA # Bld NAA+probe
clinical,CO2HB,,TR10104-8,
clinical,CO2HB,,71890-8,COHgb MFr.DF Bld
clinical,COLDAS,,TR10606-2,
clinical,COLDAS,,32672-8,CA SerPl Ql
clinical,COPC,,XON12663-1,
clinical,COPP,,14665-4,Copper SerPl-sCnc
clinical,COPRU,,34273-3,Copper Ur-sCnc
clinical,COR,,14675-3,Cortis SerPl-sCnc
clinical,CORAM,,TR10142-8,
clinical,CORAM,,14679-5,Cortis AM peak SerPl-sCnc
clinical,CORPM,,TR10143-6,
clinical,CORPM,,14678-7,Cortis PM SerPl-sCnc
clinical,COVIDT,,XON13527-7,
clinical,CPEPT,,14633-2,C peptide SerPl-sCnc
clinical,CPWB,,47100-3,Copper Bld-sCnc
clinical,CREA,,14682-9,Creat SerPl-sCnc
clinical,CREACL,,33558-8,Creat Cl ?Tm Ur+SerPl-vRate
clinical,CREATO,,14683-7,Creat Ur-sCnc
clinical,CREHVA,,14683-7,Creat Ur-sCnc
clinical,CRMWB,,15118-3,Chromium Bld-sCnc
clinical,CRP,,TR10620-3,
clinical,CRYIGA,,40628-0,Cryoglob IgA Ser Inc-mCnc
clinical,CRYIGG,,40582-9,Cryoglob IgG Ser Inc-mCnc
clinical,CRYIGM,,40581-1,Cryoglob IgM Ser Inc-mCnc
clinical,CRYOG,,29746-5,Cryoglob Ser Ql 3D Inc
clinical,CSFACE,,12480-0,ACE CSF-cCnc
clinical,CSFCM2,,XON10442-2,
clinical,CSFCOM,,XON10442-2,
clinical,CSFOCB,,32358-4,Oligoclonal Bands CSF Ql
clinical,CULT,,41852-5,Microorganism/Agent XXX
clinical,CYA,,TR10152-7,
clinical,CYA,,14978-1,cycloSPORINE Bld IA-mCnc
clinical,CYAND,,25387-2,Cyanide SerPl-sCnc
clinical,CYAO,,55805-6,cycloSPORINE Bld LC/MS/MS-mCnc
clinical,DATE,,31002-9,Dates IgE Qn
clinical,DBIL,,TR10067-7,
clinical,DBIL,,14629-0,Bilirub Direct SerPl-sCnc
clinical,DCOMP,,TR10489-3,
clinical,DCOMP,,1004-1,DAT Comp-Sp Reag RBC Ql
clinical,DFAPCP,,13326-4,Pneumocystis XXX Micro
clinical,DHEAS,,TR10156-8,
clinical,DHEAS,,14688-6,DHEA-S SerPl-sCnc
clinical,DIG,,TR10162-6,
clinical,DIG,,14698-5,Digoxin SerPl-sCnc
